season,team,points,annual_wages_gbp
2013-2014,Manchester City,86,113254000
2013-2014,Liverpool,84,65647000
2013-2014,Chelsea,82,102922000
2013-2014,Arsenal,79,71994000
2013-2014,Everton,72,52840000
2013-2014,Tottenham Hotspur,69,51251000
2013-2014,Manchester United,64,97292000
2013-2014,Southampton,56,27906000
2013-2014,Stoke City,50,33927000
2013-2014,Newcastle United,49,36448000
2013-2014,Crystal Palace,45,19377000
2013-2014,Swansea City,42,21459000
2013-2014,West Ham United,40,47267000
2013-2014,Sunderland,38,41565000
2013-2014,Aston Villa,38,33046000
2013-2014,Hull City,37,21024000
2013-2014,West Bromwich Albion,36,34543000
2013-2014,Norwich City,33,27829000
2013-2014,Fulham,32,33327000
2013-2014,Cardiff City,30,27872000
2014-2015,Chelsea,87,104644000
2014-2015,Manchester City,79,122296000
2014-2015,Arsenal,75,94677000
2014-2015,Manchester United,70,141120000
2014-2015,Tottenham Hotspur,64,65790000
2014-2015,Liverpool,62,82030000
2014-2015,Southampton,60,42557000
2014-2015,Swansea City,56,30019000
2014-2015,Stoke City,54,36713000
2014-2015,Crystal Palace,48,31704000
2014-2015,Everton,47,50455000
2014-2015,West Ham United,47,45458000
2014-2015,West Bromwich Albion,44,35490000
2014-2015,Leicester City,41,33418000
2014-2015,Newcastle United,39,32733000
2014-2015,Sunderland,38,38626000
2014-2015,Aston Villa,38,33119000
2014-2015,Hull City,35,36795000
2014-2015,Burnley,33,15581000
2014-2015,Queens Park Rangers,30,45100000
2015-2016,Leicester City,81,36878000
2015-2016,Arsenal,71,98190000
2015-2016,Tottenham Hotspur,70,54248000
2015-2016,Manchester City,66,126956000
2015-2016,Manchester United,66,124573000
2015-2016,Southampton,63,42983000
2015-2016,West Ham United,62,53333000
2015-2016,Liverpool,60,94957000
2015-2016,Stoke City,51,42158000
2015-2016,Chelsea,50,99939000
2015-2016,Everton,47,55323000
2015-2016,Swansea City,47,40612000
2015-2016,Watford,45,29019000
2015-2016,West Bromwich Albion,43,41521000
2015-2016,Crystal Palace,42,54189000
2015-2016,AFC Bournemouth,42,26453000
2015-2016,Sunderland,39,46349000
2015-2016,Newcastle United,37,49255000
2015-2016,Norwich City,34,32656000
2015-2016,Aston Villa,17,37231000
2016-2017,Chelsea,93,98614000
2016-2017,Tottenham Hotspur,86,71214000
2016-2017,Manchester City,78,137961000
2016-2017,Liverpool,76,91686000
2016-2017,Arsenal,75,103365000
2016-2017,Manchester United,69,157508000
2016-2017,Everton,61,67837000
2016-2017,Southampton,46,58272000
2016-2017,AFC Bournemouth,46,35665000
2016-2017,West Bromwich Albion,45,40960000
2016-2017,West Ham United,45,56552000
2016-2017,Leicester City,44,63701000
2016-2017,Stoke City,44,51762000
2016-2017,Crystal Palace,41,72219000
2016-2017,Swansea City,41,39728000
2016-2017,Burnley,40,24414000
2016-2017,Watford,40,41998000
2016-2017,Hull City,34,42145000
2016-2017,Middlesbrough,28,38868000
2016-2017,Sunderland,24,47762000
2017-2018,Manchester City,100,151498000
2017-2018,Manchester United,81,166171000
2017-2018,Tottenham Hotspur,77,80298000
2017-2018,Liverpool,75,95673000
2017-2018,Chelsea,70,121662000
2017-2018,Arsenal,63,158256000
2017-2018,Burnley,54,32557000
2017-2018,Everton,49,85440000
2017-2018,Leicester City,47,64107000
2017-2018,Newcastle United,44,42219000
2017-2018,Crystal Palace,44,68041000
2017-2018,AFC Bournemouth,44,43061000
2017-2018,West Ham United,42,69533000
2017-2018,Watford,41,46476000
2017-2018,Brighton & Hove Albion,40,39909000
2017-2018,Huddersfield Town,37,25607000
2017-2018,Southampton,36,68073000
2017-2018,Swansea City,33,47773000
2017-2018,Stoke City,33,49052000
2017-2018,West Bromwich Albion,31,59054000
2018-2019,Manchester City,98,150611000
2018-2019,Liverpool,97,127460000
2018-2019,Chelsea,72,157507000
2018-2019,Tottenham Hotspur,71,91206000
2018-2019,Arsenal,70,135360000
2018-2019,Manchester United,66,151325000
2018-2019,Wolverhampton Wanderers,57,37187000
2018-2019,Everton,54,85707000
2018-2019,Leicester City,52,79900000
2018-2019,West Ham United,52,82795000
2018-2019,Watford,50,49398000
2018-2019,Crystal Palace,49,74701000
2018-2019,Newcastle United,45,49845000
2018-2019,AFC Bournemouth,45,52690000
2018-2019,Burnley,40,44263000
2018-2019,Southampton,39,72514500
2018-2019,Brighton & Hove Albion,36,42821000
2018-2019,Cardiff City,34,32990000
